Country,Name,State,fname
AU,Alexandra,VIC,Australia
AU,Alexandria,NSW,Australia
AU,Alexandria,NT,Australia
AU,Alice Springs,NT,Australia
AU,Allambie Heights,NSW,Australia
AU,Allansford,VIC,Australia
AU,Alpha,QLD,Australia
AU,Alphington,VIC,Australia
AU,Alpine,NSW,Australia
AU,Alroy Downs,NT,Australia
AU,Alstonville,NSW,Australia
AU,Alton Downs,SA,Australia
AU,Altona,VIC,Australia
AU,Altona North,VIC,Australia
AU,Alvie,VIC,Australia
AU,Alyangula,NT,Australia
AU,Amata,NT,Australia
AU,Amberley,QLD,Australia
AU,American River,SA,Australia
AU,Ammaroo,NT,Australia
AU,Andamooka,SA,Australia
AU,Andrews,QLD,Australia
AU,Angas Plains,SA,Australia
AU,Angaston,SA,Australia
AU,Angle Vale,SA,Australia
AU,Anglesea,VIC,Australia
AU,Angus Downs,NT,Australia
AU,Annandale,NSW,Australia
AU,Annerley,QLD,Australia
AU,Anthony Lagoon,NT,Australia
AU,Applecross,WA,Australia
AU,Aramac,QLD,Australia
AU,Ararat,VIC,Australia
AU,Archerfield,QLD,Australia
AU,Ardlethan,NSW,Australia
AU,Ardross,WA,Australia
AU,Ardrossan,SA,Australia
AU,Argyle,WA,Australia
AU,Argyle Downs,WA,Australia
AU,Armadale,VIC,Australia
AU,Armadale,WA,Australia
AD,Andorra la Vella,,Andorra
AD,Canillo,,Andorra
AD,Encamp,,Andorra
AD,Escaldes-Engordany,,Andorra
AD,Escàs,04,Andorra
AD,La Farga de Moles,,Andorra
AD,La Massana,,Andorra
AD,Ordino,,Andorra
AD,Pas de la Casa,,Andorra
AD,Sant Julià de Lòria,,Andorra
AD,Santa Coloma,,Andorra
AE,Abu al Bukhoosh,,United Arab Emirates
AE,Abu Dhabi,AZ,United Arab Emirates
AE,Abu Musa,,United Arab Emirates
AE,Ahmed Bin Rashid Port,AZ,United Arab Emirates
AE,Ajman,,United Arab Emirates
AE,Al Ain,,United Arab Emirates
AE,Al Dhafra,,United Arab Emirates
AE,Al Fujayrah,FU,United Arab Emirates
AE,Al Hamriyah,,United Arab Emirates
AE,Al Jazeera Port,RK,United Arab Emirates
AE,Al Jeer Port,RK,United Arab Emirates
AE,Al Mafraq,AZ,United Arab Emirates
AE,Ar Ruways,,United Arab Emirates
AE,Arzanah Island,,United Arab Emirates
AE,Das Island,,United Arab Emirates
AE,Deira,DU,United Arab Emirates
AE,Dibba,SH,United Arab Emirates
AE,Dubai,DU,United Arab Emirates
AE,Dubai World Central Apt,,United Arab Emirates
AE,Esnnad,AZ,United Arab Emirates
AE,Fateh Terminal,,United Arab Emirates
AE,Free Port,DU,United Arab Emirates
AE,Habshan,AZ,United Arab Emirates
AE,Hamriya Free Zone Port,DU,United Arab Emirates
AE,Hulaylah Terminal,,United Arab Emirates
AE,Indooroodilly,,United Arab Emirates
AE,Jebel Ali,,United Arab Emirates
AE,Jebel Ali Free Zone,DU,United Arab Emirates
AE,Jebel Dhanna,,United Arab Emirates
AE,Jumayrah,,United Arab Emirates
AE,Kalba,,United Arab Emirates
AE,Khalidia,,United Arab Emirates
AE,Khor al Fakkan,,United Arab Emirates
AE,Masfut,,United Arab Emirates
AE,Mina Khalid,SH,United Arab Emirates
AE,Mina Khalifa/Abu Dhabi,,United Arab Emirates
AE,Mina Rashid Port,AZ,United Arab Emirates
AE,Mina Saqr,RK,United Arab Emirates
AE,Mina Zayed/Abu Dhabi,AZ,United Arab Emirates
AE,Minhad,,United Arab Emirates
AE,Mirfa,AZ,United Arab Emirates
AE,Mubarek Terminal,,United Arab Emirates
AE,Mubarras Island,,United Arab Emirates
AE,Musafa,,United Arab Emirates
AE,Mussafah,AZ,United Arab Emirates
AE,Offshore Fujairah,,United Arab Emirates
AE,Port Rashid,,United Arab Emirates
AE,Rak Khor Port,RK,United Arab Emirates
AE,Rak Maritime City,RK,United Arab Emirates
AE,Ras al Khaimah,,United Arab Emirates
AE,Ras Al Khor,DU,United Arab Emirates
AE,Ras Zubbaya (Ras Dubayyah),,United Arab Emirates
AE,Ruwais Port,AZ,United Arab Emirates
AE,Sadiyat Island,,United Arab Emirates
AE,Sharjah,SH,United Arab Emirates
AE,Sila,AZ,United Arab Emirates
AE,Steven Rock Terminal,RK,United Arab Emirates
AE,The Palm Jumeirah,DU,United Arab Emirates
AE,Umm Al Nar,,United Arab Emirates
AE,Umm al Qaiwain,,United Arab Emirates
AE,Vopak Horizion Terminal,RK,United Arab Emirates
AE,Yas Island,AZ,United Arab Emirates
AE,Zirku Island,AZ,United Arab Emirates
AF,Ali Shirzayi,URU,Afghanistan
AF,Bagram,PAR,Afghanistan
AF,Bamian,,Afghanistan
AF,Bazar-E-Panjwai,KAN,Afghanistan
AF,Bost,,Afghanistan
AF,Camp Bastion,HEL,Afghanistan
AF,Camp Dwyer,HEL,Afghanistan
AF,Camp Leatherneck,HEL,Afghanistan
AF,Camp Salerno,KHO,Afghanistan
AF,Camp Wolverine,ZAB,Afghanistan
AF,Chaghcharan,,Afghanistan
AF,Darwaz,,Afghanistan
AF,Dehdadi,BAL,Afghanistan
AF,Eslam Qal'eh,,Afghanistan
AF,Faizabad,,Afghanistan
AF,Farah,,Afghanistan
AF,FOB Frontenac,KAN,Afghanistan
AF,FOB Ramrod,KAN,Afghanistan
AF,FOB Shank,LOG,Afghanistan
AF,Gardez,,Afghanistan
AF,Gardiz,PIA,Afghanistan
AF,Ghazni,,Afghanistan
AF,Hairatan,,Afghanistan
AF,Herat,,Afghanistan
AF,Jalalabad,,Afghanistan
AF,Kabul,,Afghanistan
AF,Kamu,KNR,Afghanistan
AF,Kandahar,,Afghanistan
AF,Khost,,Afghanistan
AF,Khowst,KNR,Afghanistan
AF,Khowst,PIA,Afghanistan
AF,Khwahan,,Afghanistan
AF,Kunduz,,Afghanistan
AF,Kuran-O-Munjan,,Afghanistan
AF,Lashkar Gah,HEL,Afghanistan
AF,Maimana,,Afghanistan
AF,Maiwand,KAN,Afghanistan
AF,Mashad,,Afghanistan
AF,Mazar-i-Sharif,,Afghanistan
AF,Mehtar Lam,LAG,Afghanistan
AF,Meydan,BAL,Afghanistan
AF,Nimroz,,Afghanistan
AF,Orgun-E Kalan,PKA,Afghanistan
AF,Pasaband,GHO,Afghanistan
AF,Qala Nau,,Afghanistan
AF,Qalat,,Afghanistan
AF,Qal'Eh-Ye Now,BDG,Afghanistan
AF,Qasim,,Afghanistan
AF,Sardeh Band,,Afghanistan
AF,Sharona,PKA,Afghanistan
AF,Sheghnan,,Afghanistan
AF,Sherhan-Bandar,,Afghanistan
AF,Shindand,HER,Afghanistan
AF,Spin Boldak,KAN,Afghanistan
AF,Taluqan,,Afghanistan
AF,Tarin Kowt,URU,Afghanistan
AF,Tirinkot,,Afghanistan
AF,Torghundi,,Afghanistan
AF,Torkham,NAN,Afghanistan
AF,Towraghondi,HER,Afghanistan
AF,Urgoon,,Afghanistan
AF,Uruzgan,,Afghanistan
AF,Zaranj,,Afghanistan
AF,Zhari Dasht,KAN,Afghanistan
AG,Antigua,,Antigua and Barbuda
AG,Barbuda,,Antigua and Barbuda
AG,Falmouth,,Antigua and Barbuda
AG,Parham,,Antigua and Barbuda
AG,Saint John's,,Antigua and Barbuda
AI,Anguilla,,Anguilla
AI,Blowing Point,,Anguilla
AI,Crocus Hill,,Anguilla
AI,Meads Bay Beach,,Anguilla
AI,Road Bay,,Anguilla
AI,Sombrero,,Anguilla
AI,The Forest,,Anguilla
AI,The Road,,Anguilla
AI,The Valley,,Anguilla
AI,Wall Blake,,Anguilla
AL,Argyrokastro,,Albania
AL,Berat,BR,Albania
AL,Butrint,SR,Albania
AL,Durrës,,Albania
AL,Elbasan,EL,Albania
AL,Fier,,Albania
AL,Fushe Arrez,SH,Albania
AL,Gjirokastër,GJ,Albania
AL,Himare,SR,Albania
AL,Korçë,KO,Albania
AL,Kukes,KU,Albania
AL,Lezhe,LE,Albania
AL,Lushnjë,LU,Albania
AL,Sarandë,SR,Albania
AL,Shëngjin,LE,Albania
AL,Shkoder,,Albania
AL,Shkozet,KA,Albania
AL,Tenes,,Albania
AL,Tirana,,Albania
AL,Vlorë,VL,Albania
AL,Vore,TR,Albania
AM,Abovyan,,Armenia
AM,Akhuryan,,Armenia
AM,Aparan,AG,Armenia
AM,Aragatsotn,,Armenia
AM,Ararat,,Armenia
AM,Armavir,,Armenia
AM,Ashtarak,ER,Armenia
AM,Berd,,Armenia
AM,Byureghavan,KT,Armenia
AM,Dilijan,,Armenia
AM,Ecmiadzin,,Armenia
AM,Goris,,Armenia
AM,Gyumri,,Armenia
AM,Jermuk,VD,Armenia
AM,Kajaran,,Armenia
AM,Kapan,SU,Armenia
AM,Masis,AR,Armenia
AM,Rind,VD,Armenia
AM,Spitak,LO,Armenia
AM,Vanadzor,,Armenia
AM,Yerevan,ER,Armenia
AO,Ambriz,,Angola
AO,Andulo,,Angola
AO,Baba,,Angola
AO,Baía dos Tigres,,Angola
AO,Barra do Dande,,Angola
AO,Benguela,,Angola
AO,Cabinda,,Angola
AO,Cafunfo,,Angola
AO,Cangamba,,Angola
AO,Capanda,,Angola
AO,Capulo,,Angola
AO,Catumbela,,Angola
AO,Cazombo,,Angola
AO,Chitato,,Angola
AO,CLOV FPSO,,Angola
AO,Cuio,,Angola
AO,Cuito Cuanavale,,Angola
AO,Dalia,,Angola
AO,Dirico,,Angola
AO,Dombe Grande,,Angola
AO,Dundo,,Angola
AO,Essungo Terminal,,Angola
AO,Farta Bay,,Angola
AO,Futila Terminal,,Angola
AO,Gimboa,,Angola
AO,Girassol Terminal,,Angola
AO,Greater Plutonio,,Angola
AO,Huambo,,Angola
AO,Jamba,,Angola
AO,Kiame Terminal,,Angola
AO,Kuito,,Angola
AO,Kuito Terminal,,Angola
AO,Landana (Cacongo),,Angola
AO,Lieura,,Angola
AO,Lobito,,Angola
AO,Lombo Terminal,,Angola
AO,Luanda,,Angola
AO,Luau,,Angola
AO,Lubango,,Angola
AO,Lucira,,Angola
AO,Luena,,Angola
AO,Lukapa,,Angola
AO,Lumbala,,Angola
AO,Luzamba,,Angola
AO,Malange,,Angola
AO,Malembo,,Angola
AO,Malongo,,Angola
AO,M'banza Congo,,Angola
AO,Menongue,,Angola
AO,Mocamedes,,Angola
AO,Namibe,,Angola
AO,N'dalatando,CNO,Angola
AO,Negage,,Angola
AO,Nóqui,,Angola
AO,N'Riquinha,,Angola
AO,Nzagi,,Angola
AO,N'Zeto,,Angola
AO,N'Zeto (Ambrizete),,Angola
AO,Ondjiva,CNN,Angola
AO,Ongiva,,Angola
AO,Palanca Terminal,,Angola
AO,Pazflor FPSO,,Angola
AO,Porto Alexandre (Tombua),,Angola
AO,Porto Amboim,,Angola
AO,Porto Saco (Portosalazar),,Angola
AO,River Sao Nicolau,,Angola
AO,Santa Clara,UIG,Angola
AO,Saurimo,,Angola
AO,Saxi Batuque FPSO,,Angola
AO,Sazaire Terminal,,Angola
AO,Soyo,,Angola
AO,Soyo-Quinfuquena Terminal,,Angola
AO,Sumbe,,Angola
AO,Takula Terminal,,Angola
AO,Uíge,,Angola
AO,Waku Kungo,,Angola
AO,Xangongo,,Angola
AQ,Aboa,,Antarctica
AQ,Amundsen-Scott,,Antarctica
AQ,Arctowski,,Antarctica
AQ,Artigas,,Antarctica
AQ,Arturo Prat,,Antarctica
AQ,Belgrano II,,Antarctica
AQ,Bellingshausen,,Antarctica
AQ,Casey Station,,Antarctica
AQ,Comandante Ferraz,,Antarctica
AQ,Concordia,,Antarctica
AQ,Davis Station,,Antarctica
AQ,Dome Fuji,,Antarctica
AQ,Druzhnaya 4,,Antarctica
AQ,Dumont d'Urville Station,,Antarctica
AQ,Escudero,,Antarctica
AQ,Esperanza,,Antarctica
AQ,Gabriel de Castilla,,Antarctica
AQ,General Bernardo O'higgins,,Antarctica
AQ,Great Wall,,Antarctica
AQ,Halley,,Antarctica
AQ,Jang Bogo Station,,Antarctica
AQ,Juan Carlos Primero,,Antarctica
AQ,Jubany,,Antarctica
AQ,King Sejong,,Antarctica
AQ,Kohnen,,Antarctica
AQ,Law Base,,Antarctica
AQ,Maitri,,Antarctica
AQ,Marambio,,Antarctica
AQ,Mario Zucchelli,,Antarctica
AQ,Mawson Station,,Antarctica
AQ,McMurdo,,Antarctica
AQ,Mirny,,Antarctica
AQ,Neumayer,,Antarctica
AQ,Novolazarevskaya,,Antarctica
AQ,Orcadas,,Antarctica
AQ,Palmer,,Antarctica
AQ,Port Foster,,Antarctica
AQ,Progress,,Antarctica
AQ,Rothera,,Antarctica
AQ,San Martín,,Antarctica
AQ,SANAE IV,,Antarctica
AQ,Scott Base,,Antarctica
AQ,Signy,,Antarctica
AQ,Syowa,,Antarctica
AQ,Teniente R. Marsh,,Antarctica
AQ,Tor,,Antarctica
AQ,Troll,,Antarctica
AQ,Vernadsky,,Antarctica
AQ,Vostok,,Antarctica
AQ,Wasa,,Antarctica
AQ,Zhongshan,,Antarctica
AR,Abasto,,Argentina
AR,Acaraguá,N,Argentina
AR,Acassuso,B,Argentina
AR,Acevedo,B,Argentina
AR,Acheral,T,Argentina
AR,Adelia María,X,Argentina
AR,Agrelo,M,Argentina
AR,Aguilares,T,Argentina
AR,Aimogasta,F,Argentina
AR,Albardón,J,Argentina
AR,Alberti,B,Argentina
AR,Aldea Escolar,U,Argentina
AR,Alderetes,T,Argentina
AR,Allen,R,Argentina
AR,Almafuerte,X,Argentina
AR,Alsina,,Argentina
AR,Alto de Sierra,J,Argentina
AR,Alto Río Senguerr,U,Argentina
